text,ex3_score,ex4_score,ex5_score,ex6_score,ex7_score
"Dzień dobry, Użytkownicy zgłosili, że zmieniło się działanie aplikacji Kontrahenci. Ciężko znaleźć sposób na dodanie nowego kontrahenta. Okazuje się, że trzeba najpierw kliknąć „wyszukaj kontrahenta”, żeby pojawił się przycisk „Nowy kontrahent”. Proszę zobaczyć jako to teraz działa. Jeżeli nie da się tego w prosty sposób poprawić, to może dodać podpowiedź dotyczącą dodania nowego kontrahenta. Pozdrawiam, [PERSON NAME]",2,1,2,1,2
"Panie [PERSON NAME], Proszę o sprawdzenie czy macie dostęp do naszego środowiska testowego [COMPANY NAME]. Pozdrawiam [PERSON NAME]",2,1,1,1,1
"[PERSON NAME], sporo się ostatnio mówi o platformach typu low-code. Przygotuj na [DAY] zestawienie głównych dostawców w [COMPANY NAME], ze szczególnym uwzględnieniem zatrudnienia, listy klientów i cenników. Nie interesuje mnie skąd weźmiesz dane. Możesz skorzystać z naszych przyjaciół z [COMPANY NAME].",2,1,1,1,0
"Dzień Dobry Panie [PERSON NAME], Chcielibyśmy wykonać testy wydajnościowe [COMPANY NAME] retencji z użyciem ok 10000 rachunków. Mamy już przygotowane dane do wykonania tego testu. Na jaki dzień możemy się umówić, żeby wykonać taki test i prosić o Pana wsparcie w tym czasie? Czy np. [DAY] lub [DAY] będzie odpowiedni? Proszę dać znać. Pozdrawiam,",2,1,1,2,1
"Dzień dobry, W nawiązaniu do rozmowy telefonicznej, potrzebowalibyśmy przeszkolenia dwóch osób z naszej firmy z zakresu ochrony informacji niejawnych. Szkolenie to potrzebne jest nam do spełnienia wymogów oferty, w której jesteśmy podwykonawcami [COMPANY NAME]. Zgodnie z rozmową prosiłbym o przesłanie wzoru umowy ‘jednorazowki’, kosztu usługi oraz zaproponowanie terminu szkolenie (powinniśmy mieć je przeprowadzone najpóźniej do [DATE]). Pozdrawiam, [PERSON NAME]",2,1,0,1,1
"Dzień dobry, Ustawiliśmy dzisiaj parametr Limit pobieranych retencji na 5, ale w nowej sprawie 79 i następnie 80 zostało pobranych z hurtowni 6 Id retencji do usunięcia. Proszę o weryfikację. Pozdrawiam,",2,1,2,2,1
"[PERSON NAME], Pamiętasz może jakie rozwiązania podrzucałeś [COMPANY NAME] odnośnie ich problemów z widocznością rekordów dla poszczególnych użytkowników w [COMPANY NAME]? [COMPANY NAME] ma nadal z tym problem i prosi o podesłanie krótkiego opisu potencjalnych rozwiązań, o których rozmawialiśmy na spotkaniu z [COMPANY NAME] Pozdrawiam, [PERSON NAME]",2,1,2,1,2
"[PERSON NAME], Podeślij proszę pytania i umówimy spotkanie na jutro lub początek przyszłego tygodnia. Pozdrawiam, [PERSON NAME]",2,2,1,4,4
"[PERSON NAME], przygotuj harmonogram projektu konsultingowego dla [COMPANY NAME] do [DAY]. Wrzucimy do oferty i przedyskutujemy w [DAY] z klientem.",2,1,1,3,2
"Dzień dobry, Dziękujemy za umowę. W związku z tym, że nasz projekt (na potrzeby którego potrzebujemy szkolenia [COMPANY NAME]) będzie się jednak rozpoczynał od [DATE], szkolenie chcielibyśmy przeprowadzić np. pod koniec przyszłego tygodnia. Czy byliby Państwa w stanie zaproponować jakiś termin po [DATE]? Pozdrawiam, [PERSON NAME]",2,1,1,3,2
"[PERSON NAME], W załączeniu poniższa faktura + ta większe za zarządzanie uprawnieniami. Problem w tym, że obydwa zamówienia mają ten sam numer (21) według informacji od Ciebie. Prośba o zweryfikowanie, czy tak na pewno jest.",2,1,2,1,2
"Dzień dobry, [PERSON NAME] zgłasza brak dostępu do [PERSON NAME] zgłasza problem z dostępem do [FOLDER PATH]. Prosimy o nadanie dostępu, powinna zobaczyć [COMPANY NAME], których jest właścicielem. Pozdrawiam,",2,1,3,2,2
"Dzień dobry, Zmiany zostały wprowadzone zgodnie z instrukcjami. W załączniku aktualny report [COMPANY NAME]. Prośba o potwierdzenie, że proces może zostać przesłany do akceptacji w [COMPANY NAME]. Hasło prześlę w kolejnej wiadomości. Pozdrawiam [PERSON NAME]",2,0,1,2,2
"[PERSON NAME], może napiszmy że z tematem klauzul wrócimy do niej do końca tygodnia… Pozdrawiam,",2,1,3,2,3
"Szanowni Państwo, Jeżeli jest taka możliwość chętnie spotkamy się z Państwem na początku przyszłego tygodnia aby omówić schemat ewentualnej współpracy [COMPANY NAME] – [COMPANY NAME] oraz wyjaśnić ewentualne wątpliwości związane z umową czy ofertą. Pozdrawiam [PERSON NAME]",2,0,0,1,2
"[PERSON NAME], mamy jednocześnie dwie oferty do wypchnięcia w przyszłym tygodniu. Ja wezmę tę na cybersecurity dla [PERSON NAME], a Tobie podrzucam ten temat governance’owy w [COMPANY NAME]. Wrzuć mi jakąś perełkę, żaby nie była już potrzebna żadna dodatkowa obróbka. Wiesz co lubię.",2,1,2,2,3
"[PERSON NAME], rozmawiałem z [PERSON NAME] na temat tego połączenia z [COMPANY NAME] i przez chwilę działało a teraz znowu nie działa. Już wysłał do [COMPANY NAME] informacje. Dopilnuj, abyśmy mieli dostęp do ich środowiska najpóźniej do następnego [DAY] rano.",2,1,2,4,3
"[PERSON NAME], zaprosiłam Cię na spotkanie z [COMPANY NAME]. Proszę, odpisz czy interesuje Cię to spotkanie. Muszę potwierdzić liczbę osób biorących udział. Przypominam ma się odbyć w [COMPANY NAME] o [TIME].",2,1,1,2,2
Prosimy o przeprowadzenie testów do [DAY] [DATE] i przesłanie uwag.,2,1,1,3,2
"Pani [PERSON NAME], Kiedy możemy się spodziewać odpowiedzi w kwestii umowy [COMPANY NAME]. Pozdrawiam/Best regards [PERSON NAME]",2,1,1,2,3
"[PERSON NAME], na jakie dokumenty czekamy jeszcze z [COMPANY NAME]? Przysłali tego wszystkiego furę, trudno się połapać co jest nam potrzebne, a co zbędne. A przede wszystko czego jeszcze brakuje. Wyślij im, do mnie [COMPANY NAME], odpowiednie zestawienie. Najlepiej jeszcze w tym tygodniu",2,1,2,4,2
Dzień dobry. Panie [PERSON NAME] czy mamy może jakieś informacje odnośnie zapytania o postępowanie w opisanej sytuacji?,2,1,2,1,4
"Szanowni Państwo, Dziękuje za spotkanie. Przesyłam w załączeniu [COMPANY NAME] w którym określone mamy wymagania dla systemów.  Zgodnie z ustaleniami prosimy o przygotowanie dokumentu do [DATE].  Pozdrawiam",2,0,2,2,3
Proszę o ponowne wystawienie faktury z prawidłową datą. Nie może być wcześniejsza niż data podpisania protokołu odbioru,2,1,2,1,3
"Dzień dobry, Proszę o rzucenie okiem na OCR, czy wszystko u Państwa działa? Pozdrawiam, [PERSON NAME] Dziękuję",2,0,1,1,1
"[PERSON NAME], zorganizuj na [DAY] wieczorem bankiet w [GEOGRAPHIC NAME] dla 9 osób. Będzie m.in. [PERSON NAME] z mężem i wiesz kto. To wszystko są [COMPANY NAME], więc pamiętaj o odpowiedniej oprawie, ale też bezpiecznym rozliczeniu kosztów. Gdybyś miała jakiekolwiek problemy, dawaj znać.",2,2,0,1,0
"[PERSON NAME], wyślesz zaproszenie na spotkanie, żeby zablokować czas w kalendarzach, czy my mamy wysłać? Pozdrawiam, [PERSON NAME]",2,1,2,2,3
"Dzień dobry, zapraszamy na spotkanie we [DAY] [DATE] między [TIME], a [TIME]. Chcielibyśmy omówić przygotowany wstępnie proces",2,0,1,2,2
"[PERSON NAME], W trakcie opiniowania Umowy pojawiły się pytania, na który nie znaliśmy odpowiedzi, zwłaszcza jeśli chodzi o stronę techniczną, IT. W związku z tym proszę o: Krótki opis koncepcji na retencję danych w [COMPANY NAME], na spotkaniu padły 2-3 rozwiązania. Zaprezentowanie wersji demo aplikacji [COMPANY NAME] wraz z opcją wyszukiwania danych w rozproszonych bazach danych. Pozdrawiam [PERSON NAME]",2,1,1,1,1
"[PERSON NAME], prześlij projekt GUI do [PERSON NAME]. Potrzebuję jego okejki do następnego [DAY], aby deweloperzy dali radę z aplikacją",2,1,2,4,4
"Spotkanie z [COMPANY NAME] zorganizujemy nie wcześniej niż w [DAY] w przyszłym tygodniu. Zaproponuję im [DATE] o [TIME] albo [TIME]. Widzę, że nie masz tam spotkań. Proszę, potwierdź czy zaproponowany termin Ci pasuje.",2,0,1,2,2
"[PERSON NAME], mam nadzieję, że nic nie powstrzyma Cię przed udziałem w naszym małym turnieju bowlingowym w [DAY]. Zaczynamy o [TIME] w [COMPANY NAME] na [GEOGRAPHIC NAME]. Grzejemy dla Ciebie miejsce. Potwierdź ASAP, że do nas dołączysz.",2,1,0,1,0
"[PERSON NAME], Zgodnie z rozmową – [DAY] nam (ja i [PERSON NAME]) nie pasuje. Proponuje [DAY] ([DATE]) albo [DAY] ([DATE]) [TIME] – [TIME] Z informacji, które uzyskałem od [PERSON NAME] i [PERSON NAME] wydaje się, że możemy zmienić ten system na inny oczywiście zgodnie z pozostałymi założeniami dotyczącymi prac na nim przeprowadzonych. Pozdrawiam, [PERSON NAME]",1,1,1,1,1
"[PERSON NAME], do przetłumaczenia są 4 aplikacje w [COMPANY NAME]. Musisz zdążyć przed świętami, aby prawnicy zdążyli jeszcze nanieść swoje poprawki, zanim oddamy wszystko do klienta.",1,1,2,3,3
"Dzień dobry, Dzisiaj podczas usuwania dokumentów wystąpił nowy błąd: Przeprowadzono proces usuwania danych [ID] dla umowy [ID] Znaleziono dokumentów 26: Wystąpił błąd: Unsupported null parameter passed to function: isObject(Null) at line [31:9] Proszę o weryfikację. Pozdrawiam,",1,1,2,1,1
"Witam Panie [PERSON NAME], W [COMPANY NAME] zarejestrowałem poniższy przypadek. Przy tej okazji, jeśli to możliwe prosimy o skorygowanie procesu tak aby zgłoszone Sprawy oraz zawartość raportu zgłoszonych spraw były dostępne dla wszystkich przedstawicieli [COMPANY NAME]",1,0,1,2,2
"Witam, Prosilibyśmy o informacje co możemy zrobić, żeby zdarzenia odrzucone były w usuwane automatycznie z bazy. Obecnie wciąż je widzimy, ze statusem ‘odrzucone’. Pozdrawiam,",1,1,2,1,1
"Cześć, Właśnie rozmawiałam z [PERSON NAME], że dobrze byłoby wyjaśnić z klientem, czy podstawowe to znaczy minimalne do wdrożenia czy może jednak – że dokument ma być prosty i na dużym poziomie ogólności.  [PERSON NAME], czy mógłbyś ustawić spotkanie z klientem w tym temacie? Dzięki! [PERSON NAME]",1,1,1,2,2
"Dziękuję za informację, Poproszę w takim razie o logi (w szczególności [ID]). Pozdrawiam",1,0,2,1,2
"Witam, Proszę o kontakt. Pozdrawiam, [PERSON NAME]",1,0,1,2,3
Cześć. Pamiętajcie o uzupełnieniu bazy utworów do końca miesiąca. Później mogą być problemy ze skarbówką.,1,0,2,2,0
"To poproszę [DAY] [DATE] g. [TIME]. Czy wysłać zaproszenie przez [COMPANY NAME]? Pozdrawiam, [PERSON NAME]",1,0,0,1,2
"[PERSON NAME], pamiętaj, że z [PERSON NAME] spotykamy się na warsztatach od [DAY] ([DATE]) do [DAY] ([DATE]) włącznie,w godzinach od [TIME] do [TIME].",1,1,1,1,2
"Super, że możemy się spotkać w [DAY].  Zaraz wyślę do Ciebie zaproszenie na [DAY] na [TIME].",1,1,1,2,1
"Dzień dobry, Pani [PERSON NAME] procesy [ID], [ID], [ID] zostały przesłane do akceptacji w [COMPANY NAME]. W załączniku przesyłam Report [PERSON NAME] dla procesu [ID] po aktualizacji. Prośba o zwrócenie uwagi na wykaz źródeł w kroku [ID] (A.1 Payment order occured). Poniżej zamieszczam screen. Prośba o informację czy należy też tutaj dodać źródło Payment Gateway oraz czy wprowadzić w wykazie inne zmiany.",1,1,2,1,2
"Dzień dobry, Skończyliśmy już aktualizację aplikacji [ID] i możemy przekazać ją państwu do testów. Sugerujemy rozpocząć testy na naszym środowisku cloud, abyśmy mogli łatwiej reagować na państwa uwagi. Proszę o informację, komu założyć konta do testów, wraz z informacją do jakich działów powinny te osoby zostać przydzielone. Pozdrawiam",1,1,1,1,1
"[PERSON NAME], poradziłeś sobie z [PERSON NAME], to dasz też radę z [PERSON NAME]. Wrzuć nam spotkanko w przyszłym tygodniu na obgadanie strategii cenowej. Pamiętaj tylko, że teraz trzeba będzie trochę polatać po [GEOGRAPHIC NAME], bo nie wszystko da się załatwić na [GEOGRAPHIC NAME]",1,1,1,2,2
"[PERSON NAME], aktualizacja naszej strony musi zakończyć się do [DATE]. Pamiętaj, że trzeba przebudować sekcję pytań i odpowiedzi oraz zaktualizować cennik. Gdybyś potrzebował pomocy, zgłoś się do [PERSON NAME].",1,1,0,2,2
"[PERSON NAME], Mamy błędy na [ID] i [ID], możesz zerknąć?",1,1,1,2,3
"Cześć, w załączeniu przesyłam listę remarków na [COMPANY NAME] w ramach kontroli [COMPANY NAME]. Jesteśmy zobligowani do zweryfikowania kontroli w oparciu o uwagi zgłoszone przez [COMPANY NAME]. Prośba do Was o przygotowanie zmian stosownie do uwag lub innych aktualizacji w procesach i kontrolach. W najbliższym czasie chcemy rozpocząć prace związane z weryfikacją i wprowadzaniem zmian procesach. Zmiany muszą być wprowadzone do [DATE] W razie pytań prośba o kontakt. Pozdrawiam [PERSON NAME]",1,0,1,1,2
"[PERSON NAME], Wystaw, proszę, fakturę dla [COMPANY NAME] za aplikację Usuwanie plików z repozytorium [FOLDER PATH]. Kwota [VALUE] netto. Gdy trafi do Ciebie papierowa wersja protokołu, to podpisz i odeślij do [COMPANY NAME]. Pozdrawiam,",1,0,1,1,1
"Hej, [PERSON NAME]. Planuję być u Ciebie w [DAY]. Znajdziesz czas między [TIME] a [TIME] na szybki lunch i przejrzenie projektu umowy? Już cieszę się na to spotkanie. Do zo!",1,2,2,3,2
"Cześć, [PERSON NAME], przepraszam za opóźnienie w odpowiedzi. Opisy są prawidłowe. Prośba o upgrade w [COMPANY NAME]. Dla procesu [COMPANY NAME]: [ID] – [COMPANY NAME] proszę o wprowadzenie analogicznych zmian jak dla procesu [ID]. Pozdrawiam / Best regards, [PERSON NAME]",1,0,2,1,2
"Tradycją jest nasze coroczne spotkanie opłatkowe. Zwykle organizujemy je, jak wiesz, gdzieś w [GEOGRAPHIC NAME]. Proponuję jednak zmianę klimatu. [PERSON NAME], zaproponuj, proszę kilka lokalizacji na [GEOGRAPHIC NAME]. Porozmawiajmy o dostępnych opcjach może w [DAY], po [TIME].",1,1,1,1,1
"Panie [PERSON NAME], Bardzo proszę o przesłanie zaktualizowanego dokumentu. Ostatnia wersja jaką mamy to [ID] a wiem, że  od tamtej pory zostało wprowadzone kilka modyfikacji.",1,0,2,1,2
"Czy mógłbym prosić o uruchomienie na produkcji polecenia i przesłanie wyniku: [COMMAND] Oraz o przesłanie zawartości pliku [FOLDER PATH], którym jest uruchamiania [COMPANY NAME], oraz zawartości pliku [FOLDER PATH]. Pozdrawiam",1,0,1,0,1
"Dobrze słyszeć, Czy ktoś mógłby sprawdzić, czy taki dokument pojawił się w testowej organizacji w [COMPANY NAME]? Jak tu będzie potwierdzone to możemy działać już z samym procesem [ID]. Pozdrawiam",1,1,2,1,2
"[PERSON NAME], mam prośbę. Czy mógłbyś proszę przygotować instrukcję w sprawie [ID], która byłaby połączeniem: [ID], oraz [ID] [COMPANY NAME], którą przesyłam w załączeniu. Jeśli chodzi o format to postaraj się proszę przygotować to w formacie podobnym jak załączona [ID]. Dzięki. Pozdrawiam,",1,0,1,1,1
"[PERSON NAME], Da radę się odezwać? Pzdr, [PERSON NAME]",1,1,0,0,1
"[PERSON NAME], Podeślij mi, proszę, raport z [COMPANY NAME] z postępami użytkowników szkolenia [COMPANY NAME] z [COMPANY NAME][PERSON NAME]",1,0,2,0,2
"Hej, Czy mamy jakieś nowe informacje? Ewentualnie kiedy spodziewamy się jakiś informacji? Pozdrawiam [PERSON NAME]",1,1,1,1,2
"Dzień dobry, W nawiązaniu do wczorajszych ustaleń, prosimy również o przesłanie kilku wzorów podpisów likwidatorów do pism (faksymile) oraz listę dokumentów o które Państwo proszą w pismach [ID]. Pozdrawiam,",1,0,1,2,1
"[PERSON NAME], Proszę o wystawienie faktury dla [PERSON NAME] za pełnienie funkcji Koordynatora ds. [COMPANY NAME] oraz świadczenie usług doradczych w okresie [DATE] - [DATE] w kwocie [VALUE] netto. Umowa nr [ID] z [DATE]. Wprowadź, proszę, na fakturze nasz numer dostawcy - [ID]. Pozdrawiam,",1,0,1,0,0
"Przetłumacz proszę slajd 8. Pozdrawiam, [PERSON NAME]",1,0,1,1,2
"Dzień dobry, Panie [PERSON NAME] otrzymałam poniższe polecenie. Czy mogłabym Państwa prosić o przygotowanie takiego dokumentu? Pozdrawiam",1,0,1,1,1
"[PERSON NAME], W takim razie może zapytajmy [PERSON NAME] czy zdarzają się takie sytuacje i czyje dane mogą to być? Pozdrawiam,",1,0,1,1,1
"Oczywiście, bardzo poproszę o aktualne logi ([ID], [ID], [ID]). Pozdrawiam",1,0,1,0,1
Dzień dobry Panie [PERSON NAME]. Proszę o przesłanie procesu do akceptacji w [COMPANY NAME],1,0,1,0,1
"Panowie, W załączeniu przesyłam umowę z [COMPANY NAME] na archiwizację dokumentów. Za chwilę prześlę też umowy z działu IT. Organizacyjnie chciałam tez zapytać – na kiedy możemy umówić się na raport z podsumowaniem audytu? Pozdrawiam serdecznie / Best regards,",1,0,1,1,2
"Dzień dobry, Czy byłaby możliwość ustawienia spotkania w tym tygodniu (np. w [DAY] o dowolnej porze), żeby kontynuować temat projektowania aplikacji i zasad kierowalności na [COMPANY NAME], [COMPANY NAME], ścieżkę techniczną i pełną? Pozdrawiam,",1,0,1,2,1
"[PERSON NAME], zwolniło się miejsce na szkolenie dla analityków biznesowych, więc chciałbym Cię na nie wysłać. To będzie drugi tydzień [DATE]. [COMPANY NAME]. Zaplanuj sobie pracę w taki sposób, abyś mogła tam pojechać. Zadbaj też, aby poszło odpowiednie zamówienie.",1,1,1,1,1
"Dzień dobry, Pani [PERSON NAME] zmiany zostały wprowadzone zgodnie z instrukcjami. W załączniku przesyłam aktualne Report Narrativy dla procesów. Prośba o potwierdzenie, że procesy mogą zostać przesłane do akceptacji w [COMPANY NAME]. Hasło do pliku prześlę w kolejnej wiadomości. Prośba o informację, czy wprowadzić analogiczne zmiany do procesu [ID], ew. w jakim zakresie je wprowadzić.",1,0,2,1,2
"[PERSON NAME], w przyszłym tygodniu będę prywatnie pod [COMPANY NAME]. Zadzwoń do [COMPANY NAME] z [PERSON NAME] i sprawdź, czy może spotkać się ze mną [TIME] lub [TIME]. Najchętniej w porze obiadowej. Mogę z nim wyskoczyć na jakąś rybkę i pogadać o kolejnych projektach, o których wspominał na ostatnim spotkaniu w [DATE].",1,1,1,2,2
"Część uwag jest w komentarzach, część w umowie – jeśli to nie przeszkadza to wyślij as it is, ewnentualnie można przerzucić uwagi do komentarzy. [PERSON NAME]",1,0,2,1,2
"[PERSON NAME], przygotuj spotkanie z klientem na pierwszy [DAY] następnego miesiąca. Wrzuć do mojego kalendarza i [PERSON NAME], ale nie wcześniej niż o [TIME].",0,1,1,4,3
"[PERSON NAME], Podeślij mi, proszę, raport z postępami użytkowników szkolenia [COMPANY NAME] z [PERSON NAME]. Pozdrawiam,",0,0,0,1,1
"[PERSON NAME], Czy Ty masz jakieś raporty rynkowe dotyczące technologii na której bazujemy/ szerzej rynku? (np. raport [COMPANY NAME] o technologii low code która opisujemy na blogu)? Czy możesz mi udostepnic jakos wszelkie „merytoryczne materialy” – jeśli takowe są. Czy Wy zlecaliście jakies badanie rynku zewnętrznym firmom? Pozdr.",0,0,1,1,1
"Potwierdzamy termin, dane osób prześlemy w [DAY] przed szkoleniem. Dziękuję i pozdrawiam, [PERSON NAME]",0,0,0,2,2
[PERSON NAME] Opisz  proszę w 3-4 zdaniach jedno spotkanie/ rozmowę z targów [COMPANY NAME]. Dzięki Pozdrawiam [PERSON NAME],0,0,0,2,2
"Cześć, Przygotowałem zestawienie, o którym pisał [PERSON NAME]. Chciałbyś coś dodać, zmienić?",0,0,0,1,1
"Dzień dobry, Czy możemy sprawdzić, czy uda się wykonać poniższe zapytanie? [COMMAND]",0,0,2,0,1
"Dzień Dobry, Bardzo dziękuję. Czy moglibyśmy umówić się na prezentację tego narzędzia? Pozdrawiam, [PERSON NAME]",0,0,1,1,1
"Tak, proszę o wysłanie zaproszenia. W spotkaniu będzie uczestniczył jeszcze [PERSON NAME] ([MAIL ADRESS]), szef naszych developerów. Pozdrawiam,",0,0,1,0,1
"Hej, Podeślijcie proszę zdjęcia z waszych wyjazdów do [COMPANY NAME]. Potrzebuje od każdego 1-2 zdjęcia z w miarę biznesowych sytuacji np.: z targów, na tle banneru konferencji, z Expo. Jeżeli macie to również zdjęcia zebranych wizytówek,  wejściówek.",0,0,1,1,1
"Dzień Dobry, Zgodnie z naszą rozmową telefoniczną, chcielibyśmy moc testować bezpłatnie Państwa narzędzie. Testująca będzie jedna osoba. Proszę o informację, jakie dane Pan potrzebuje abyśmy mogli wystartować. Pozdrawiam,",0,0,1,2,0
"Panowie, zgodnie z wczorajszym ustaleniem wrzuciłem do [COMPANY NAME] wzór rejestru czasu pracy dla [COMPANY NAME]: [LINK] Prośba o wrzucanie tutaj wszystkich godzinek dla tego klienta (począwszy od [DATE]). BTW. Bardzo fajnie działa to nasze repozytorium dokumentów. Plik wygodnie się edytuje. Super!:) Pozdrawiam,",0,0,1,1,1
"[PERSON NAME], w [COMPANY NAME] mają być ciekawe targi platform BPMSowych. Zarezerwuj mi wejściówki, przelot i hotel. Zostanę może z dzień po evencie, weź to pod uwagę. Może uda się zorganizować małe tet-a tet z naszym [COMPANY NAME] przyjacielem.",0,0,0,1,0
"Cześć, [PERSON NAME]. Słyszałem że sporo czasu spędziłeś w południowo-wschodniej [GEOGRAPHIC NAME]. Możesz mi zaproponować jakąś ciekawą trasę, tak na 3-4 tygodnie, minimum 3 kraje? Czekam na ofertę w przyszły [DAY]. Nie zapomnij tylko o kilku atrakcjach dla maluchów",0,0,2,1,0
"Drodzy, w załączeniu porozumienie, prośba o akceptacje lub komentarze. Pozdrawiam/Best regards",0,0,0,0,1
"[PERSON NAME], W wolnej chwili prześlij mi proszę raport z audytu, który w Twojej opinii, powinien posłużyć jako wzór przy przygotowaniu raportu dla [PERSON NAME]. Dzięki. Pozdrawiam,",0,0,1,1,2
"[PERSON NAME], Możesz odpowiedzieć w jaki sposób ustawione jest sortowanie?",0,0,0,0,1
"Panie [PERSON NAME], pasuje nam zaproponowany termin. Bardzo proszę o przesłanie zaproszenia do zespołu po stronie [COMPANY NAME]: •	[PERSON NAME] •	[PERSON NAME] •	[PERSON NAME] •	[PERSON NAME] Dziękuję. Pozdrawiam,",0,0,0,1,0
