text,ex1_score,ex2_score
"Po moim telefonie do ciebie, jeśli mógłbyś dostarczyć Johnowi jakąkolwiek dokumentację w kopercie przed poniedziałkowym spotkaniem, byłbym wdzięczny.",5,4
Dołączę do ciebie.,5,3
"Proszę, zaplanuj to.",5,4
"Proszę umówić się na spotkanie z Franciszką, Diterem i mną.",5,4
Czy przewidujesz problem ze mną wyjeżdżającym tego dnia o 16:00?,5,3
"Jędrzej Pókała, czy możemy wysłać te dokumenty w formacie Word - nie jestem pewien, czy jest to problem dla wszystkich, ale nigdy nie mogę otworzyć tych załączników z Braeswell.",5,3
Chętnie spotkam się na kolację/kawę i pogawędkę.,5,3
Zadzwonię w piątek rano mojego czasu.,5,4
"Proponuję krótkie spotkanie w celu omówienia strategii, zanim cokolwiek zostanie wysłane do SW.",5,4
Proszę o przesłanie raportów operacyjnych NN i TW z protokołu ostatniego spotkania.,5,4
Proszę dać mojemu identyfikatorowi EOL możliwość handlu produktami Canadian Gas.,5,3
"Brett, czy możesz podać mi szczegółowe informacje na temat czterech turbin MEH (tj.) zaplanowanej dostawy, ceny, opcji paliwa, tempa ogrzewania, mocy wyjściowej itp. - w tym możliwości przeniesienia do NA.",5,4
"Jeśli nie możesz do mnie zadzwonić, w poniedziałek wyślę krótkie memorandum o sytuacji.",5,4
"Jeśli jesteś dostępny, myślę, że byłby to dobry pomysł.",5,4
"Skontaktuj się ze mną bezpośrednio i powiedz, co myślisz.",5,4
Czy w przyszłym tygodniu jest już za późno na spotkania?,5,4
"Karol Wołowiec, jeśli Twój harmonogram na to pozwala, czy mógłbyś uczestniczyć w pierwszych pięciu dziesięciu minutach codziennej rozmowy Lucji Strażnik (10 rano CST), aby dać tym ludziom krótki obraz tego, co się wydarzyło?",5,4
"Jeśli tak, prześlij go do mnie.",5,4
"Porozmawiajmy dalej, zanim zbliżymy się do ENA.",5,5
Czy możesz się do nas przyłączyć?,5,4
"Musisz zajrzeć do kalendarza, żeby zobaczyć, kiedy możesz tu przyjechać.",5,4
Spotkamy się u Ciebie lub u mnie i o której godzinie?,5,4
"Lucjan Gencza, Proszę o przesłanie ich do Wielisławy Hentel-Wrona w przyszłości.",5,4
"Daj mi znać, kiedy będzie dla Ciebie dogodny czas, może kiedyś we wtorek?",5,4
Na razie nie wprowadzaj żadnych zmian.,5,3
"Marcjanna Mieśnikiewicz, czy możesz umówić się na kolację z Jowitą.",5,4
Porozmawiajmy i może uda mi się uporządkować spotkanie Henryki Uchniewskiej.,5,5
Czy mógłbyś spróbować skłonić Eryka Giereja do odpowiedzi?,5,4
Czy możemy spróbować umówić się na szybką rozmowę w celu omówienia?,5,5
"Muszę wiedzieć, czy chcesz to pobrać, czy powinienem przekazać to innemu członkowi...",5,4
"Proszę, porozmawiaj w tej sprawie z East Desk.",5,4
"Potrzebuję więc, abyś uzyskał następujące informacje dla Amalii Gawieńczuk, Albina Bocisa i Apache:",5,4
"Prosimy o koordynację z Włodzimierą, aby Twoje plany były zsynchronizowane (w przypadku potencjalnego nakładania się), abyśmy nie przekazywali braku koordynacji prawej/lewej ręki.",5,4
Czy Enron pokryje koszty przygotowania tych zwrotów?,5,3
"A może byłoby pomocne w tym momencie spotkać się z kimkolwiek innym w Enron, aby przynajmniej nawiązać osobisty kontakt?",5,3
"Oto kilka pytań, które chciałbym zadać przed spotkaniem na 32 piętrze w środę.",5,4
Mogę się spotkać około 10:00.,5,5
Zaplanuj połączenie z naszą telekonferencją o godzinie 8:00 czasu pacyficznego we wtorek 8 stycznia.,5,3
"Daj mi znać, jeśli nie będziesz miał nic do jutra.",5,4
"Proszę chronić mnie w czwartek po południu, 10 sierpnia.",5,4
"Jeśli umowa jest zgodna z Państwa aprobatą, proszę o przesłanie mi jej kopii faksem nr.",5,3
"Sugerowałbym również wzięcie udziału w spotkaniu grupy zadaniowej, pod warunkiem, że zarządzanie EES jest przyjemne, aby uzyskać lepszy obraz tego, co się dzieje.",5,3
"Musimy wysłać czek do agencji, aby pokryć się przed terminem 30 kwietnia.",5,4
"Bardzo chcielibyśmy porozmawiać z Tobą na temat planowanej roli w Ginter i kierunku, jaki Twoim zdaniem obierze firma.",5,4
"Informujemy, że data zawieszenia zawarta w H-7 może i prawdopodobnie zostanie zmieniona, zanim zamówienia zostaną rozpatrzone na posiedzeniu CPUC w dniu 20 września.",5,3
"Możemy dodać zmianę prawa jako wydarzenie, które ułatwi nam harmonogram, ale możemy chcieć poszerzyć definicję zmiany prawa.",5,3
"Potrzebuję Twojego numeru prawa jazdy i daty ważności, aby zapewnić zgodność z przepisami od 11 września, aby upewnić się, że nie jesteś terrorystą lub praniem pieniędzy.",5,3
"Jeśli Benigna Nowak-Dębski musi pracować, czy jesteś dostępny?",5,3
"Musimy oddać ostateczną listę inwentarza, załatwić sprawy z Karoliną Bortnyk (czy to dobrze, czy źle), a potem możemy wykupić Adriannę Kubiak-Opozda.",5,4
Musisz zdobyć jedną z tych rzeczy.,5,3
"Jeśli masz jakieś pytania, nie wahaj się skontaktować.",5,3
Czy radca prawny powinien być obecny?,5,3
Czy możesz znaleźć salę konferencyjną?,5,4
Czy możesz zrobić 10 kopii na spotkanie o godzinie 10:00?,5,4
"Zresztą do omówienia od teraz do poniedziałku, czy po prostu chcemy skorzystać z oferty Łucji?",5,3
Możesz dzisiaj porozmawiać?,5,5
"Nie jesteśmy gotowi zawrzeć z nimi umowy, dopóki nie przeprowadzimy z nimi rozmów na temat ich autorytetu.",5,4
"Jeśli pojawią się jakieś problemy lub jeśli masz jakieś pytania, nie wahaj się do mnie zadzwonić.",5,3
"Przyjrzyj się plikowi, a następnie omówimy, jak połączyć to z obecną przepustowością rurociągu i przyszłymi rozszerzeniami.",5,4
"Wyślę ci ostateczny dokument, żebyśmy mogli przedyskutować.",5,4
"I daj mi znać, co o tym myślisz.",5,4
"Proszę daj mi znać, jeśli jesteś dzisiaj dostępny, aby omówić tę transakcję z s. Jacoby i ze mną.",5,4
"Przejrzyj to i skontaktuj się ze mną w sprawie wszelkich zmian, które chciałbyś wprowadzić.",5,3
"Zobaczę, co da się zrobić i wrócę do Ciebie.",5,4
"Czy możesz zadzwonić, aby omówić strategię PG&E w środę?",5,4
Porozmawiajmy o tym na spotkaniu.,5,5
"Kazimiera Beton, czy możesz umówić się na spotkanie dla naszej czwórki w ciągu najbliższych kilku tygodni.",5,5
Ginger: Czy mogłabym zadzwonić do ciebie o 4:30 i prosić mnie o rozmowę pod numerem 800?,5,4
"Idzi - czy możesz mi przefaksować ostateczne spisane kopie następujących umów, które zrobiliśmy w tym tygodniu:",5,4
"Następnie, tak szybko, jak to możliwe, chciałbym mieć spotkanie w celu omówienia i sfinalizowania propozycji.",5,5
Proszę uzupełnij go o swoje dotychczasowe dyskusje.,5,4
"Zadzwoń, jeśli chcesz porozmawiać.",5,4
"Arleta Komisarski-Błąkała może powiedzieć, że zapewnimy im też miejsce na biurko, ale miejsce z komputerem i telefonem zarezerwujemy dla Arlety Komisarski-Błąkała.",5,4
"Jestem pewien, że jesteś bardzo zajęty, ale byłbym bardzo zainteresowany porozmawianiem z tobą w dogodnym dla ciebie terminie, aby omówić opłacalność uprawy winogron na mojej posesji.",5,4
Czy można by zaprosić kilka kluczowych osób z naszego Działu Kredytowego do udziału w tym seminarium?,5,3
"Chętnie porozmawiam z tobą w ten weekend, jeśli to możliwe, o urodzinach Prentice'a.",5,4
"Jeśli chcesz się dzisiaj spotkać, to byłoby dobrze.",5,3
Wolisz zjeść jutro obiad?,5,2
"Zadzwoń do mnie, Tymoteusz, 3-1808, a dostarczę Ci jego harmonogram na przyszły tydzień.",5,4
"Kiedy jutro dostaniesz minutę, zadzwoń do mnie (w tym tygodniu jestem mobilny) i możemy porozmawiać.",5,4
"Tomasz Bonikowski-Zduński mówi, że niedługo Cię tu nie będzie, ale byłoby bardzo pomocne, gdybyś mógł do nas dołączyć, gdy już tu dotrzesz.",5,3
"Dzwoń, kiedy chcesz porozmawiać o telefonie (o którym zapomniał Ci powiedzieć Sergiusz Wośk).",5,4
Proszę umówić tego kandydata na rozmowę kwalifikacyjną.,5,4
"Aleksandra, czy możesz umówić się na spotkanie w celu omówienia kwestii kredytowych.",5,4
W piątek możemy spotkać się w restauracji.,5,3
"W przyszłym tygodniu jadę do Las Vegas, więc za tydzień będziemy musieli się spotkać.",5,4
Będziemy musieli przełożyć.,5,4
Czy uczestnictwo w spotkaniu ma dla mnie sens?,5,3
"Czy na dziś zaplanowana jest telekonferencja, a Bronisława Przychodzeń-Radwan dostępna na jutro?",5,4
Byłbym bardzo wdzięczny za pomoc w jak najszybszym rozwiązaniu tego problemu.,5,4
"Zadzwoń do mnie w poniedziałek, aby omówić pobieranie Enron Online.",5,4
"Jestem zadowolony z twoich decyzji, więc możesz to zrobić.",5,4
"Wrócę do domu w piątek wieczorem, więc daj mi znać, czy jest coś, co mogę zrobić przed spotkaniem.",5,4
Czy możesz zmienić mój adres w swoim systemie (i towarzystwach funduszy) na adres mojej mamy i taty.,5,4
"Daj mi znać do jutra rano, jeśli masz jakieś uwagi.",5,4
"Proszę, idźcie z Zuzanną i omówicie z nią te sprawy.",5,4
"Ludwina Stawiński-Zapart: Jeśli dostaniesz minutę, czy mógłbyś zadzwonić, żeby podsumować spotkanie, na którym mieliśmy Grumę?",5,4
"Jeśli nadal jesteś na rynku nowej firmy, chcielibyśmy, abyś dołączył do naszej rodziny.",5,2
"Skontaktuj się z Korneliuszem De-Grootem i zasugeruj, aby spotkał się z Tobą, gdy tam będziesz, albo zrobię to za Ciebie.",5,4
"Chcę usłyszeć, co powiedziała Lilla Wałajtys i z kim jeszcze się spotykasz.",5,4
"Eufemia Krzyczmanik, idź po nie.",5,4
"Ale Judyta (która, nawiasem mówiąc, jest odpowiedzialna za ten bałagan!) teraz zdecydowała, że ​​chce zrobić sobie świąteczny makijaż 29-go, czyli w środku tego, kiedy będziemy na górze ( między świętami i sylwestrem — mam nadzieję, że ty i Gabryela Powieża dołączycie do nas, żebyśmy mogli skopać ci tyłki w piki).",5,3
Kogo poleciłbyś na stanowisko dyrektora?,5,3
Czy możemy umówić się na telekonferencję z pracownikami działu HR w Celgar?,5,4
"Przypominam, żeby wysłać mi raport walutowy.",5,4
"Zadzwoń, aby omówić to w dowolnym momencie.",5,4
"Mam nadzieję, że możesz do nas dołączyć.",5,4
Jaki jest stan Pana patrzenia na kwestie kontraktu LNG?,5,3
"Proszę, umieść to w moim kalendarzu.",5,4
"Bardzo nam się podoba, więc prosimy o przesyłanie opinii i komentarzy.",5,3
Czy możesz również przekazać do biura SF.,5,4
Poczekajmy na Cecylię: wraca w środę.,5,4
"Zakładam, że przejrzysz te dokumenty w sprawach świadczeń/planu, a następnie wyślesz odpowiednie do Juranda Łosia-Gałkowskiego w tym tygodniu.",5,4
"Proszę daj mi znać, jeśli chcesz kogoś z Twojej organizacji na spotkanie.",5,4
Prosimy o dodanie Zdzisława Radochońskiego do naszego arkusza ankiety indeksu dwutygodniowego.,5,4
Przed podjęciem decyzji porozmawiajmy o tym długo i ciężko.,5,4
"Przypominam, żebym porozmawiał w poniedziałek o mediach.",5,4
Musisz poświęcić kilka minut i spojrzeć na to JAK NAJSZYBCIEJ!,5,4
"Czy możesz przekazać mi prezentację, o której wspomniałeś, gdy rozmawialiśmy w piątek.",5,5
A czy macie kopię listu pokojowego (traktatu) wysłanego do FERC w zeszłym tygodniu?,5,3
Czy możesz wysłać mi kopię do poniedziałku.,5,5
"Zadzwoń do mnie, a omówimy kwestie związane z tą nową strukturą i najlepszym sposobem przekazania jej zaangażowanym stronom, aby była ona jak najbardziej efektywna.",5,4
Czy jesteś wolny w tym terminie?,5,4
Czy możesz porozmawiać ze mną przez kilka minut w tym tygodniu?,5,5
"Zadzwoń, abyśmy mogli porozmawiać.",5,5
"Proponuję znaleźć dzień w ciągu najbliższych kilku tygodni na spotkanie z Anitą Stusiński w Calgary, aby szczegółowo opowiedzieć o roli, rynku i oczekiwaniach.",5,4
"W wolnym czasie i przed listopadowym spotkaniem OCD przygotuj notatkę do złożenia powodów i uzasadnienia na podstawie wyników raportu i danych, dlaczego Lucjanna Piastuch nie jest w tym złym i dlaczego Texaco.",5,3
"Obejrzyj i powiedz mi, co myślisz.",5,4
"Zajmuje to kilka minut, więc jeśli chcesz zobaczyć płatność w tym tygodniu, musisz poświęcić na to 3 minuty.",5,2
"Jak potwierdzasz spotkania z panem Wernerem Zaorskim-Świerkoszem w przyszłym tygodniu, czy mógłbyś nawiązać kontakt z Maureen, Janel i ze mną?",5,4
"Daj nam znać, jak możemy Ci pomóc w tej podróży.",5,4
"Proszę umówić się na spotkanie ze mną, Engelbertem Sołkiem-Surmińskim i Albiną Migodzińską.",5,4
"Poprosił mnie o e-mail, żebyś mógł umieścić to w jego kalendarzu i powiedział, że wyślesz też e-maila do jego żony, żeby sprawdzić datę.",5,4
"Daj mi znać, gdy będziesz mieć odpowiednią pamięć do zainstalowania.",5,4
Chętnie spotkam się w czwartek na obiedzie.,5,4
"Chciałem tylko wiedzieć, czy masz jeszcze czas na szybkie spotkanie.",5,4
"Proszę o jak najszybszy kontakt mailowy lub telefoniczny pod poniższymi numerami, aby omówić sprawy, jeśli uważasz, że byłoby to możliwe lub jeśli chcesz uzyskać więcej informacji na temat kontekstu pracy i przedmiotu w podstawowej działalności AspenTech.",5,3
"Nie mogliście tego rozgryźć - zaproponowałem więc kompromisowe stanowisko, które obejmowało dobrze skoordynowaną inicjatywę marketingową (zostało to uzgodnione z Eustachym Wenderem na zewnątrz): a) grupa ubezpieczeniowa miała określić początkowe 5 do 10 lista docelowych klientów, do której ENA podałaby produkt, która powinna dać nam ocenę, czy jest to produkt opłacalny z handlowego punktu widzenia; b) Eustachy Wender i Henryk Juzok ułatwiliby kontakt z klientami, aby zapewnić spójną twarz i historię z klientami - jeśli możecie usiąść i wymyślić alternatywę, która dla was działa - świetnie; niezależnie od tego, Eustachy Wender obiecał mi, że zrobi wszystko, co konieczne, aby ułatwić i promować tę zdolność wśród tych klientów JAK NAJSZYBCIEJ; c) obie grupy stworzą zespół ds. transakcji i wyjdą tam JAK NAJSZYBCIEJ; d) jeśli testowy marketing produktu zakończy się sukcesem; Zgadzam się, że musimy usiąść i przedyskutować, w jaki sposób formalnie łączymy interesy tych grup.",5,3
"Jeśli to możliwe, czy możesz mi je dostarczyć do jutra po południu?",5,4
"Ale biorąc pod uwagę charakter i długość spotkania, to chyba nie ma sensu - proszę daj mi znać, co myślisz.",5,4
"Mariusz Wichniarz, Czy możesz wysłać ponownie 1/26/00 MPR?",5,4
"Przekaż swój e-mail do reszty ogc, aby ułatwić dyskusję.",5,3
Muszę stworzyć nowy gazowy produkt dzienny.,5,3
Postaram się zdobyć numery taryfowe i oddzwonię do ciebie.,5,4
"Zobacz, co myślisz, gdy dostaniesz sekundę.",5,3
Jeśli chciałbyś się spotkać w celu omówienia tego daj mi znać a ustalimy termin.,5,4
"Chciałbym poznać Twoje przemyślenia na temat Władysławy, biorąc pod uwagę, że byłeś jednym z pierwszych pobierających naszą aplikację w ciągu ostatnich kilku miesięcy.",5,3
"Jarosława, prześlij mi harmonogram, abym mógł go przekazać naszemu głównemu handlowcowi w Japonii.",5,4
"Zadzwonię do mojego asystenta, żeby umówić się na rozmowę telefoniczną na początku przyszłego tygodnia.",5,4
Czy możesz dostać projekt do piątku rano?,5,4
Niech ktoś mi pomoże!!!,5,3
Spotkajmy się z Filipem w celu omówienia programu.,5,4
Proszę dać mi dostęp do wykonania na EOL dla książki głównej krótkoterminowej.,5,4
"Kordian Nowiaszak, prosimy o udostępnienie szczegółowych numerów HPL do omówienia w poniedziałek.",5,4
"Krzysztof domaga się usunięcia finansowania CP, a my mamy telefon zaplanowany na 200, aby zobaczyć, czy możemy dojść do porozumienia z Deltą.",5,4
"Zadzwoń pod numer 1-877-428-5608, aby porozmawiać z przedstawicielem pomocy technicznej.",5,3
Mamy połączenie konferencyjne na 200 z Delta.,4,3
"Z pewnością rozumiem, że ponownie rozważysz wyjazd do Houston w przyszłym tygodniu.",4,3
Ponadto chcielibyśmy mieć możliwość wcześniejszego spotkania się z Państwem.,4,4
"Czy możesz przygotować krótką prezentację, która posłuży jako dokument do dyskusji na takie spotkanie.",4,4
Musimy również porozmawiać o weekendzie 01/12 .,4,4
Spotkajmy się w Westin Oaks obok recepcji około 18:30. Czwartek.,4,4
"Zadzwonię do Państwa w ciągu najbliższych kilku dni, aby poinformować Państwa o naszej pracy i rozwoju w Enron.",4,4
"Daj nam znać, gdzie możemy uzyskać dostęp do tego raportu, gdy stanie się dostępny.",4,4
"Czy ktoś może mi powiedzieć, co to znaczy?",4,4
"Zaraz idę na lunch, więc zadzwoń do mnie na komórkę, jeśli będziesz mnie potrzebować.",4,3
"Jeśli masz jakiekolwiek pytania lub chciałbyś bardziej szczegółowo omówić prezentację, nie wahaj się do mnie zadzwonić lub napisz do mnie.",4,3
Czy możesz do mnie zadzwonić (x6910) i mi pomóc.,4,4
"Wydaje mi się, że powinniśmy ponownie spróbować, aby osoby znajdujące się na liście, które nie są jeszcze członkami, dołączyły do ​​ISDA.",4,3
"Czy możesz wysłać mi e-mail ze swoim adresem pocztowym, abym mógł wysłać czek.",4,4
"Zadzwonię jutro, żeby omówić szczegóły.",4,5
"Kiedy będziesz miał chwilę, muszę omówić ostatni załącznik do arkusza terminologicznego Co Op (dotyczącego zarządzania aktywami).",4,4
"Powiedz Zbysławowi Kala lub Kay, żeby znalazł czas na przyszły tydzień, jeśli pan Alicja da radę.",4,4
"Jeśli pojawią się pytania dotyczące transakcji EOL, upewnij się, że Twoi odbiorcy (handlowcy, ja itp.) wiedzą, że omawiasz transakcję EOL.",4,3
"Zadzwoń do mojego asystenta, aby umówić się na wczesny wtorek.",4,4
Zadzwoń do mnie we wtorek.,4,4
Chętnie spotkam się i omówię projekt.,4,4
"Chłopaki, FYI - Ben, czy możesz skontaktować się z tą osobą z naszym zainteresowaniem lub jego brakiem, w zależności od tego, co ma zastosowanie.",4,4
Czy mógłbyś skontaktować mnie z zespołem zajmującym się komunikacją dotyczącą przejścia lub spotkać się ze mną osobiście w celu omówienia?,4,4
Czy możesz otrzymać listę ostatnich absolwentów OU zatrudnionych w Enron?,4,3
"Zadzwoń do mnie, aby omówić Twoje pytanie.",4,4
"Chociaż jest to świeże w mojej głowie, byłoby wspaniale, gdybyś mógł uchwycić następujące informacje przed naszym spotkaniem:",4,4
"Czy mogę uzyskać zarys ich dwudniowego kursu do przejrzenia, aby podjąć tę decyzję?",4,4
Powinniśmy na razie odwołać spotkanie i pozwolić Bożenie Hruzdowicz uzyskać wyjaśnienie niektórych spraw od AA.,4,4
"Zadzwoń do mnie, abyśmy mogli porozmawiać.",4,5
"Po zajęciach będę dostępny, aby spotkać się z kimkolwiek zechcesz.",3,4
"Jutro dostarczymy do Twojego biura konkretny język legislacyjny oraz 20 istniejących projektów ustaw, które naszym zdaniem mogą uwzględniać nasze propozycje.",3,3
"Poświęć trochę czasu na przeczytanie wszystkiego i daj nam znać, co myślisz.",3,4
"Jeśli masz pytanie, na które nie odpowiedzieliśmy, daj nam znać, a pomożemy Ci znaleźć odpowiedź!",3,2
"Byłoby idealnie, gdybyśmy mogli uzyskać te dane w czwartek.",3,3
Proszę zignorować poprzedni e-mail.,3,4
"Porozmawiamy, kiedy będę w tym tygodniu.",3,5
Powinniśmy omówić tworzenie zautomatyzowanego arkusza każdego dnia do handlu gotówkowego.,3,4
"Jeśli załączony dokument spotka się z Twoją aprobatą, proszę o zawarcie umowy przez upoważnionego pracownika webMethods i zwrócenie mi kopii do wykonania przez Enron.",3,3
"Czy mógłbyś mi powiedzieć, czy Enron byłby zainteresowany sponsorowaniem zespołu w przyszłym semestrze i kim powinien być mój punkt kontaktowy w przypadku, gdy chciałbyś wziąć udział?",3,4
"Daj mi znać, kiedy będziesz gotowy do dyskusji.",3,4
"Daj nam znać, jeśli chcesz wziąć udział, a dopilnuję, że otrzymasz oficjalne zaproszenie.",3,3
"Jeśli nie wybierasz się do Sac w poniedziałek, kawa w SF w godzinach pracy działa.",3,2
"Możemy porozmawiać o tym, kiedy będę jutro iw piątek w Houston.",3,4
"A bardzo chcielibyśmy, żeby pan Wiesław został na obiad - czy to wykonalne?",3,3
Do zobaczenia w piątek.,3,3
"Jeśli nie jest to możliwe, daj mi znać.",3,4
"Benedykt Kurdybelski, czy mógłbyś porozmawiać z innymi grupami, aby odpowiednio uporządkować możliwości korporacyjne (np. Albert Bartos-Wasielewski, Włodzisław Szebla itp.)",3,4
"Wykorzystajmy najwcześniejszą okazję, aby to przedyskutować.",3,4
Proszę wypełnić załączony plik zgodnie z ustaleniami telefonicznymi.,3,4
"Kiedy będziesz miał czas, przyślij mi też Eugenię Szwarcernhorn!",3,4
"Jeżeli umowa spełnia Państwa aprobatę, proszę o jej wykonanie i odesłanie do mnie faksem nr.",3,4
Zdecydowanie postarajmy się koordynować na kolejne spotkanie.,3,4
"Ustaliliśmy, że pojedziemy w czwartek i zostaniemy w czwartek wieczorem.",3,3
Jestem do dyspozycji Ciebie lub Twoich współpracowników w każdej chwili.,3,4
"Spodziewam się, że z Benedyktem i Sławą usiądziemy pod koniec stycznia - proszę o udostępnienie pakietu do recenzji do połowy stycznia.",3,4
"Biorąc pod uwagę, że Kunegunda wróci we wtorek, możesz skoordynować z nią obowiązki redakcyjne.",3,3
Chcielibyśmy odbyć telekonferencję o 200 CST w niedzielę.,3,3
"Szybko, daj mi tani towar, który wygląda obiecująco.",3,4
"Mogę do ciebie zadzwonić, kiedy wyjdę ze spotkania, ale może to chwilę potrwać.",3,4
Chciałbym mieć to do środy wieczorem w e-mailu wszystkich w czwartek rano.,3,4
"Chciałbym, żebyście dołączyli, ale nie martw się, jeśli masz konflikty.",3,3
"Cześć Sylweriusz: Czy mógłbyś się upewnić, że Regina je dostanie?",3,4
"Wszelkie dane, które możesz podać, będą pomocne.",3,4
"Jeśli nie, czy jesteś dostępny około godziny 15:00, aby omówić to samo?",3,4
Dlatego musimy jutro wystawić OBA psy i otworzyć bramę.,3,3
Prosimy o przesłanie materiału CNG do,3,4
Śmiało i zdobądź umowę o kontroli operacyjnej podpisaną przez odpowiednie strony i wysłaną we właściwe miejsce.,3,3
Chętnie dołączę do was na lunch z MEC.,3,3
"Czy mógłbyś odświeżyć moją pamięć o tym, co jestem ci winien za wybrzeże i akację, a zaraz wyślę ci czek! Jeszcze raz dziękuję za homara i zabawę w ostatni weekend.",3,3
"Twanda, proszę o kalendarz.",3,4
Proszę przejrzeć i przekazać swoje uwagi Damazy Wensławowskiemu.,3,4
"Stella Połomski-Kuc, w Twoim osobistym interesie może leżeć zapewnienie odpowiedniej liczby świadków, aby wiadomość została dostarczona i nie było zamieszania w przyszłości.",3,4
"Nadal będziesz musiał skoordynować z grupą kontraktową, aby uzyskać właściwą umowę dla transakcji.",3,4
"Można się ze mną skontaktować pod numerem 713-783-1223, jeśli chcesz dokładniej omówić harmonogram spotkania.",3,3
"Cecylia Mitleger, potrzebuję twoich 2000 osiągnięć i antologii wznowienia/transakcji Enronu do piątku.",3,3
"Zadzwoń do mnie, kiedy będziesz miał okazję go obejrzeć.",3,4
Czy otrzymałeś moją wiadomość o moim identyfikatorze parkingowym?,3,3
"Mogę przesłuchać cię wtedy na rozprawie lub jeśli chcesz wysłuchać teraz, zadzwoń do mnie.",3,3
Prosimy o złożenie przysięgi elektronicznej nie później niż w piątek 17 sierpnia.,3,4
Chcesz dołączyć?,3,2
"Musimy mieć pewność, że ten rodzaj komunikacji będzie płynął dalej.",3,4
Chcesz zebrać ludzi na to wydarzenie?,3,3
"Przepraszamy, nie mogę uczestniczyć w sobotę.",3,3
Zapoznaj się z naszymi wskazówkami dotyczącymi bezpieczeństwa,3,3
"Jutro o 6:30 proszę zaplanować spotkanie z Zenobiuszem Orłowskim-Guzikow, Reginą, Ginterem i Gabryelą Mazerą o 6:30 Ruth Chris Steak House (301/652-7877) 7317 Wisconsin Ave., Bethesda.",3,3
"Jeżeli załączony dokument spotka się z Państwa aprobatą, prosimy o podpisanie załącznika i odesłanie go do mnie faksem nr.",3,3
"Jeśli możesz przyjść, byłoby wspaniale, gdybyś zwrócił się do grupy, jeśli chcesz.",3,3
Spodziewaj się dziś wieczorem telefonu od Dominiki Swarcewicz.,3,3
"Gdybyś dała Albinie Szkopiak informację, gdzie jest Woodlands i dokąd muszę się udać, kiedy tam dotrę, byłabym wiecznie zadłużona.",3,4
"Ligia Potelski, mam nadzieję, że uda nam się Cię przekonać do przyjazdu, gdy zmienimy harmonogram - wydawało się, że rozmowa jest łatwa.",3,4
"Daj mi znać, jeśli otrzymasz moje załączniki.",3,4
"Możesz przyjść, kiedy tylko chcesz odebrać czek.",3,4
Nasza trójka prawdopodobnie potrzebuje zebrać się razem i przedyskutować taktykę dotyczącą wielu kwestii.,3,4
"Proszę, zadzwoń do mnie w dogodnym dla Ciebie terminie.",3,4
"Masz trochę czasu, żeby posiedzieć i trochę porozmawiać?",3,5
Czy mamy listę uczestników/programu?,3,3
"Nie krępuj się iść naprzód z tym, co musisz zrobić.",3,4
W przyszłym tygodniu spotykamy się ze specjalistą.,3,4
Możesz skontaktować się ze mną w czwartek pod moją komórką 713 410 5396.,3,3
W poniedziałek rano ustalimy numer telefonu.,3,4
"Jeśli są w porządku, opublikuj je i wyślij mi e-mailem ostateczną wersję.",3,4
"Daj mi znać, jeśli możesz umówić się na trzydziestominutową rozmowę wprowadzającą w ciągu najbliższych kilku dni roboczych, aby porozmawiać o szczegółach.",3,5
Zostałeś poproszony o przekazanie informacji zwrotnej dla uczestnika uczestniczącego w następnym programie.,3,3
"Przepraszam za opóźnienie, ale czekaliśmy na więcej ocen warsztatów, abyśmy mogli przedstawić Państwu pełniejszą ocenę warsztatów przez uczestników.",3,4
"Czy mogę otrzymać kopię wszystkich faktur, które wysłaliśmy na CES za styczeń.",3,4
Celestyna Sorbian-Góral ma się dobrze; jednak chciałbym szybko zapoznać się z dokumentem po przesłaniu wersji papierowej do góry...,3,3
"Proszę, załóż mój harmonogram.",3,4
Zadzwonię do Ciebie jutro i chciałbym przedstawić pomysł dotyczący bieżącego zasobu dla operacji w Londynie.,3,4
"Wierzę, że w następnym tygodniu będziemy chcieli przypisać turbiny firmie Enron LLC.",3,3
"Podzielmy się badaniami i zobaczmy, czy jest jakieś miejsce, w którym moglibyśmy się ekscytować.",3,4
"Proszę nie wahaj się do mnie zadzwonić, jeśli chcesz omówić coś bardziej szczegółowo.",3,4
"Jeśli zechcesz do mnie zadzwonić, kiedy będziesz miał chwilkę, zorganizuję konferencję u Leny Jewgeniew z Remigiusza i po prostu to wszystko potwierdzimy.",3,4
"Jestem cały dzień i jutro, jeśli chcesz porozmawiać.",3,4
Kto może dołączyć do mnie na to spotkanie?,3,4
"Czy mógłbyś napisać opis, w jaki sposób Consumers Energy działa na rozliczeniach za przelewy własności?",3,3
"Zadzwoń do mnie pod numer (713) 853-6895, aby omówić bardziej szczegółowo.",3,4
A co z lunchem jutro (wszyscy jesteśmy w mieście) lub o 17:00 (przed meczem piłki)?,3,3
"Bożenna, proszę zadzwoń pod numer 3-0977, a ustalimy godzinę, która będzie dla Ciebie dobra do obserwacji.",3,4
"Wyczyściłem kalendarz, więc każda pora dnia mi odpowiada.",3,3
"Janusz Pietrzak-Majewski, po otrzymaniu zapotrzebowania porozmawiajmy przed wdrożeniem.",3,4
Prosimy o przesłanie zakresu pracy dla Eustachego Jątczaka i Rolanda Mirowskiego-Krosty.,3,4
Daj mi harmonogram wycofania cnr w ciągu najbliższych kilku lat.,3,4
Czy mamy dzisiaj spotkanie grupowe?,3,4
"Daj mi znać, gdy chcesz omówić problemy z komputerem.",3,3
